Time,P CE ST1  Discharge pressure CA Seg.1 [psia]
7/31/2011 1:06:12 PM,49.98
8/1/2011 6:37:24 AM,49.58
8/2/2011 12:08:36 AM,49.66
8/2/2011 5:39:48 PM,49.56
8/3/2011 11:11:00 AM,51.89
8/4/2011 4:42:12 AM,52.76
8/4/2011 10:13:24 PM,52.22
8/5/2011 3:44:36 PM,52.23
8/6/2011 9:15:48 AM,51.63
8/7/2011 2:47:00 AM,51.18
8/7/2011 8:18:12 PM,51.46
8/8/2011 1:49:24 PM,51.45
8/9/2011 7:20:36 AM,51.75
8/10/2011 12:51:48 AM,52.42
8/10/2011 6:23:00 PM,52.91
8/11/2011 11:54:12 AM,53.18
8/12/2011 5:25:24 AM,53.12
8/12/2011 10:56:36 PM,53.19
8/13/2011 4:27:48 PM,53.28
8/14/2011 9:59:00 AM,53.49
8/15/2011 3:30:12 AM,53.51
8/15/2011 9:01:24 PM,53.65
8/16/2011 2:32:36 PM,53.58
8/17/2011 8:03:48 AM,53.23
8/18/2011 1:35:00 AM,53.10
8/18/2011 7:06:12 PM,53.15
8/19/2011 12:37:24 PM,53.46
8/20/2011 6:08:36 AM,53.28
8/20/2011 11:39:48 PM,53.18
8/21/2011 5:11:00 PM,53.17
8/22/2011 10:42:12 AM,52.79
8/23/2011 4:13:24 AM,52.79
8/23/2011 9:44:36 PM,52.63
8/24/2011 3:15:48 PM,52.30
8/25/2011 8:47:00 AM,51.88
8/26/2011 2:18:12 AM,52.22
8/26/2011 7:49:24 PM,52.61
8/27/2011 1:20:36 PM,52.53
8/28/2011 6:51:48 AM,52.22
8/29/2011 12:23:00 AM,52.66
8/29/2011 5:54:12 PM,52.35
8/30/2011 11:25:24 AM,53.43
8/31/2011 4:56:36 AM,54.08
